state,name,fips,age_over_18,age_over_18_moe,age_over_65,age_over_65_moe,age_over_85,age_over_85_moe,age_under_5,age_under_5_moe,asian,asian_moe,avg_family_size,avg_family_size_moe,bachelors,bachelors_moe,black,black_moe,hispanic,hispanic_moe,household_has_broadband,household_has_broadband_moe,household_has_computer,household_has_computer_moe,household_has_smartphone,household_has_smartphone_moe,households,households_moe,households_speak_asian_or_pac_isl,households_speak_asian_or_pac_isl_moe,households_speak_limited_english,households_speak_limited_english_moe,households_speak_other,households_speak_other_moe,households_speak_other_indo_euro_lang,households_speak_other_indo_euro_lang_moe,households_speak_spanish,households_speak_spanish_moe,housing_mobile_homes,housing_mobile_homes_moe,housing_one_unit_structures,housing_one_unit_structures_moe,housing_two_unit_structures,housing_two_unit_structures_moe,hs_grad,hs_grad_moe,mean_household_income,mean_household_income_moe,mean_work_travel,mean_work_travel_moe,median_age,median_age_moe,median_household_income,median_household_income_moe,median_individual_income,median_individual_income_moe,median_individual_income_age_25plus,median_individual_income_age_25plus_moe,native,native_moe,other_single_race,other_single_race_moe,pac_isl,pac_isl_moe,per_capita_income,per_capita_income_moe,persons_per_household,persons_per_household_moe,pop,pop_moe,poverty,poverty_moe,poverty_65_and_over,poverty_65_and_over_moe,poverty_under_18,poverty_under_18_moe,two_plus_races,two_plus_races_moe,unemployment_rate,unemployment_rate_moe,uninsured,uninsured_moe,uninsured_65_and_older,uninsured_65_and_older_moe,uninsured_under_19,uninsured_under_19_moe,uninsured_under_6,uninsured_under_6_moe,veterans,veterans_moe,white,white_moe,white_not_hispanic,white_not_hispanic_moe,long,lat,group,order,region,subregion
Alabama,Chambers County,1017,79,0.2,19.2,0.2,1.9,0.5,6.1,0.2,1.1,0.2,3.1,0.14,13.3,1.7,39.6,0.5,2.4,NA,69.4,2.2,58.6,2.8,68.7,2.5,13448,405,1,0.5,0.9,0.5,0,0.2,0.5,0.3,1.4,0.4,32.5,2.3,13.4,1.8,67.5,2.3,81.6,1.8,53505,2733,23.7,1.3,42,0.7,42289,2979,22754,1104,31860,1771,0.3,0.1,0.3,0.3,0,0.1,22729,1231,2.46,0.07,33660,NA,17.3,2.2,11.4,2.4,25.5,5.6,1,0.6,4,1.2,10.3,1.7,0.4,0.4,5.4,3.4,8.1,9.1,7.9,1.1,57.7,0.3,55.5,0.1,-85.40509033203125,32.738807678222656,9,481,alabama,chambers
Alabama,Chambers County,1017,79,0.2,19.2,0.2,1.9,0.5,6.1,0.2,1.1,0.2,3.1,0.14,13.3,1.7,39.6,0.5,2.4,NA,69.4,2.2,58.6,2.8,68.7,2.5,13448,405,1,0.5,0.9,0.5,0,0.2,0.5,0.3,1.4,0.4,32.5,2.3,13.4,1.8,67.5,2.3,81.6,1.8,53505,2733,23.7,1.3,42,0.7,42289,2979,22754,1104,31860,1771,0.3,0.1,0.3,0.3,0,0.1,22729,1231,2.46,0.07,33660,NA,17.3,2.2,11.4,2.4,25.5,5.6,1,0.6,4,1.2,10.3,1.7,0.4,0.4,5.4,3.4,8.1,9.1,7.9,1.1,57.7,0.3,55.5,0.1,-85.41082000732422,32.744537353515625,9,482,alabama,chambers
Alabama,Chambers County,1017,79,0.2,19.2,0.2,1.9,0.5,6.1,0.2,1.1,0.2,3.1,0.14,13.3,1.7,39.6,0.5,2.4,NA,69.4,2.2,58.6,2.8,68.7,2.5,13448,405,1,0.5,0.9,0.5,0,0.2,0.5,0.3,1.4,0.4,32.5,2.3,13.4,1.8,67.5,2.3,81.6,1.8,53505,2733,23.7,1.3,42,0.7,42289,2979,22754,1104,31860,1771,0.3,0.1,0.3,0.3,0,0.1,22729,1231,2.46,0.07,33660,NA,17.3,2.2,11.4,2.4,25.5,5.6,1,0.6,4,1.2,10.3,1.7,0.4,0.4,5.4,3.4,8.1,9.1,7.9,1.1,57.7,0.3,55.5,0.1,-85.41654968261719,32.744537353515625,9,483,alabama,chambers
Alabama,Chambers County,1017,79,0.2,19.2,0.2,1.9,0.5,6.1,0.2,1.1,0.2,3.1,0.14,13.3,1.7,39.6,0.5,2.4,NA,69.4,2.2,58.6,2.8,68.7,2.5,13448,405,1,0.5,0.9,0.5,0,0.2,0.5,0.3,1.4,0.4,32.5,2.3,13.4,1.8,67.5,2.3,81.6,1.8,53505,2733,23.7,1.3,42,0.7,42289,2979,22754,1104,31860,1771,0.3,0.1,0.3,0.3,0,0.1,22729,1231,2.46,0.07,33660,NA,17.3,2.2,11.4,2.4,25.5,5.6,1,0.6,4,1.2,10.3,1.7,0.4,0.4,5.4,3.4,8.1,9.1,7.9,1.1,57.7,0.3,55.5,0.1,-85.41654968261719,32.75599670410156,9,484,alabama,chambers
Alabama,Chambers County,1017,79,0.2,19.2,0.2,1.9,0.5,6.1,0.2,1.1,0.2,3.1,0.14,13.3,1.7,39.6,0.5,2.4,NA,69.4,2.2,58.6,2.8,68.7,2.5,13448,405,1,0.5,0.9,0.5,0,0.2,0.5,0.3,1.4,0.4,32.5,2.3,13.4,1.8,67.5,2.3,81.6,1.8,53505,2733,23.7,1.3,42,0.7,42289,2979,22754,1104,31860,1771,0.3,0.1,0.3,0.3,0,0.1,22729,1231,2.46,0.07,33660,NA,17.3,2.2,11.4,2.4,25.5,5.6,1,0.6,4,1.2,10.3,1.7,0.4,0.4,5.4,3.4,8.1,9.1,7.9,1.1,57.7,0.3,55.5,0.1,-85.43373107910156,32.750267028808594,9,485,alabama,chambers
Alabama,Chambers County,1017,79,0.2,19.2,0.2,1.9,0.5,6.1,0.2,1.1,0.2,3.1,0.14,13.3,1.7,39.6,0.5,2.4,NA,69.4,2.2,58.6,2.8,68.7,2.5,13448,405,1,0.5,0.9,0.5,0,0.2,0.5,0.3,1.4,0.4,32.5,2.3,13.4,1.8,67.5,2.3,81.6,1.8,53505,2733,23.7,1.3,42,0.7,42289,2979,22754,1104,31860,1771,0.3,0.1,0.3,0.3,0,0.1,22729,1231,2.46,0.07,33660,NA,17.3,2.2,11.4,2.4,25.5,5.6,1,0.6,4,1.2,10.3,1.7,0.4,0.4,5.4,3.4,8.1,9.1,7.9,1.1,57.7,0.3,55.5,0.1,-85.43373107910156,32.738807678222656,9,486,alabama,chambers
Alabama,Chambers County,1017,79,0.2,19.2,0.2,1.9,0.5,6.1,0.2,1.1,0.2,3.1,0.14,13.3,1.7,39.6,0.5,2.4,NA,69.4,2.2,58.6,2.8,68.7,2.5,13448,405,1,0.5,0.9,0.5,0,0.2,0.5,0.3,1.4,0.4,32.5,2.3,13.4,1.8,67.5,2.3,81.6,1.8,53505,2733,23.7,1.3,42,0.7,42289,2979,22754,1104,31860,1771,0.3,0.1,0.3,0.3,0,0.1,22729,1231,2.46,0.07,33660,NA,17.3,2.2,11.4,2.4,25.5,5.6,1,0.6,4,1.2,10.3,1.7,0.4,0.4,5.4,3.4,8.1,9.1,7.9,1.1,57.7,0.3,55.5,0.1,-85.47383880615234,32.738807678222656,9,487,alabama,chambers
Alabama,Chambers County,1017,79,0.2,19.2,0.2,1.9,0.5,6.1,0.2,1.1,0.2,3.1,0.14,13.3,1.7,39.6,0.5,2.4,NA,69.4,2.2,58.6,2.8,68.7,2.5,13448,405,1,0.5,0.9,0.5,0,0.2,0.5,0.3,1.4,0.4,32.5,2.3,13.4,1.8,67.5,2.3,81.6,1.8,53505,2733,23.7,1.3,42,0.7,42289,2979,22754,1104,31860,1771,0.3,0.1,0.3,0.3,0,0.1,22729,1231,2.46,0.07,33660,NA,17.3,2.2,11.4,2.4,25.5,5.6,1,0.6,4,1.2,10.3,1.7,0.4,0.4,5.4,3.4,8.1,9.1,7.9,1.1,57.7,0.3,55.5,0.1,-85.47956848144531,32.744537353515625,9,488,alabama,chambers
Alabama,Chambers County,1017,79,0.2,19.2,0.2,1.9,0.5,6.1,0.2,1.1,0.2,3.1,0.14,13.3,1.7,39.6,0.5,2.4,NA,69.4,2.2,58.6,2.8,68.7,2.5,13448,405,1,0.5,0.9,0.5,0,0.2,0.5,0.3,1.4,0.4,32.5,2.3,13.4,1.8,67.5,2.3,81.6,1.8,53505,2733,23.7,1.3,42,0.7,42289,2979,22754,1104,31860,1771,0.3,0.1,0.3,0.3,0,0.1,22729,1231,2.46,0.07,33660,NA,17.3,2.2,11.4,2.4,25.5,5.6,1,0.6,4,1.2,10.3,1.7,0.4,0.4,5.4,3.4,8.1,9.1,7.9,1.1,57.7,0.3,55.5,0.1,-85.49676513671875,32.744537353515625,9,489,alabama,chambers
Alabama,Chambers County,1017,79,0.2,19.2,0.2,1.9,0.5,6.1,0.2,1.1,0.2,3.1,0.14,13.3,1.7,39.6,0.5,2.4,NA,69.4,2.2,58.6,2.8,68.7,2.5,13448,405,1,0.5,0.9,0.5,0,0.2,0.5,0.3,1.4,0.4,32.5,2.3,13.4,1.8,67.5,2.3,81.6,1.8,53505,2733,23.7,1.3,42,0.7,42289,2979,22754,1104,31860,1771,0.3,0.1,0.3,0.3,0,0.1,22729,1231,2.46,0.07,33660,NA,17.3,2.2,11.4,2.4,25.5,5.6,1,0.6,4,1.2,10.3,1.7,0.4,0.4,5.4,3.4,8.1,9.1,7.9,1.1,57.7,0.3,55.5,0.1,-85.50249481201172,32.738807678222656,9,490,alabama,chambers
Alabama,Chambers County,1017,79,0.2,19.2,0.2,1.9,0.5,6.1,0.2,1.1,0.2,3.1,0.14,13.3,1.7,39.6,0.5,2.4,NA,69.4,2.2,58.6,2.8,68.7,2.5,13448,405,1,0.5,0.9,0.5,0,0.2,0.5,0.3,1.4,0.4,32.5,2.3,13.4,1.8,67.5,2.3,81.6,1.8,53505,2733,23.7,1.3,42,0.7,42289,2979,22754,1104,31860,1771,0.3,0.1,0.3,0.3,0,0.1,22729,1231,2.46,0.07,33660,NA,17.3,2.2,11.4,2.4,25.5,5.6,1,0.6,4,1.2,10.3,1.7,0.4,0.4,5.4,3.4,8.1,9.1,7.9,1.1,57.7,0.3,55.5,0.1,-85.56551361083984,32.738807678222656,9,491,alabama,chambers
Alabama,Chambers County,1017,79,0.2,19.2,0.2,1.9,0.5,6.1,0.2,1.1,0.2,3.1,0.14,13.3,1.7,39.6,0.5,2.4,NA,69.4,2.2,58.6,2.8,68.7,2.5,13448,405,1,0.5,0.9,0.5,0,0.2,0.5,0.3,1.4,0.4,32.5,2.3,13.4,1.8,67.5,2.3,81.6,1.8,53505,2733,23.7,1.3,42,0.7,42289,2979,22754,1104,31860,1771,0.3,0.1,0.3,0.3,0,0.1,22729,1231,2.46,0.07,33660,NA,17.3,2.2,11.4,2.4,25.5,5.6,1,0.6,4,1.2,10.3,1.7,0.4,0.4,5.4,3.4,8.1,9.1,7.9,1.1,57.7,0.3,55.5,0.1,-85.57124328613281,32.744537353515625,9,492,alabama,chambers
Alabama,Chambers County,1017,79,0.2,19.2,0.2,1.9,0.5,6.1,0.2,1.1,0.2,3.1,0.14,13.3,1.7,39.6,0.5,2.4,NA,69.4,2.2,58.6,2.8,68.7,2.5,13448,405,1,0.5,0.9,0.5,0,0.2,0.5,0.3,1.4,0.4,32.5,2.3,13.4,1.8,67.5,2.3,81.6,1.8,53505,2733,23.7,1.3,42,0.7,42289,2979,22754,1104,31860,1771,0.3,0.1,0.3,0.3,0,0.1,22729,1231,2.46,0.07,33660,NA,17.3,2.2,11.4,2.4,25.5,5.6,1,0.6,4,1.2,10.3,1.7,0.4,0.4,5.4,3.4,8.1,9.1,7.9,1.1,57.7,0.3,55.5,0.1,-85.58271026611328,32.744537353515625,9,493,alabama,chambers
Alabama,Chambers County,1017,79,0.2,19.2,0.2,1.9,0.5,6.1,0.2,1.1,0.2,3.1,0.14,13.3,1.7,39.6,0.5,2.4,NA,69.4,2.2,58.6,2.8,68.7,2.5,13448,405,1,0.5,0.9,0.5,0,0.2,0.5,0.3,1.4,0.4,32.5,2.3,13.4,1.8,67.5,2.3,81.6,1.8,53505,2733,23.7,1.3,42,0.7,42289,2979,22754,1104,31860,1771,0.3,0.1,0.3,0.3,0,0.1,22729,1231,2.46,0.07,33660,NA,17.3,2.2,11.4,2.4,25.5,5.6,1,0.6,4,1.2,10.3,1.7,0.4,0.4,5.4,3.4,8.1,9.1,7.9,1.1,57.7,0.3,55.5,0.1,-85.58271026611328,32.738807678222656,9,494,alabama,chambers
Alabama,Chambers County,1017,79,0.2,19.2,0.2,1.9,0.5,6.1,0.2,1.1,0.2,3.1,0.14,13.3,1.7,39.6,0.5,2.4,NA,69.4,2.2,58.6,2.8,68.7,2.5,13448,405,1,0.5,0.9,0.5,0,0.2,0.5,0.3,1.4,0.4,32.5,2.3,13.4,1.8,67.5,2.3,81.6,1.8,53505,2733,23.7,1.3,42,0.7,42289,2979,22754,1104,31860,1771,0.3,0.1,0.3,0.3,0,0.1,22729,1231,2.46,0.07,33660,NA,17.3,2.2,11.4,2.4,25.5,5.6,1,0.6,4,1.2,10.3,1.7,0.4,0.4,5.4,3.4,8.1,9.1,7.9,1.1,57.7,0.3,55.5,0.1,-85.59416198730469,32.73308181762695,9,495,alabama,chambers
Alabama,Chambers County,1017,79,0.2,19.2,0.2,1.9,0.5,6.1,0.2,1.1,0.2,3.1,0.14,13.3,1.7,39.6,0.5,2.4,NA,69.4,2.2,58.6,2.8,68.7,2.5,13448,405,1,0.5,0.9,0.5,0,0.2,0.5,0.3,1.4,0.4,32.5,2.3,13.4,1.8,67.5,2.3,81.6,1.8,53505,2733,23.7,1.3,42,0.7,42289,2979,22754,1104,31860,1771,0.3,0.1,0.3,0.3,0,0.1,22729,1231,2.46,0.07,33660,NA,17.3,2.2,11.4,2.4,25.5,5.6,1,0.6,4,1.2,10.3,1.7,0.4,0.4,5.4,3.4,8.1,9.1,7.9,1.1,57.7,0.3,55.5,0.1,-85.59416198730469,33.105499267578125,9,496,alabama,chambers
Oklahoma,Le Flore County,40079,75.7,NA,17.5,0.1,1.7,0.2,6.4,0.1,0.7,0.1,3.19,0.06,14.6,1,1.9,0.2,7,NA,68.3,1.4,56.5,1.6,66.9,1.2,18261,244,0.8,0.2,1.8,0.3,0.3,0.2,0.4,0.2,4.4,0.6,29,1.4,15.7,0.8,71,1.4,83.5,1,54669,1802,NA,NA,39.4,0.3,40677,1372,21806,633,30437,1013,11.3,0.6,1.8,0.4,0,0.1,20902,627,2.67,0.03,50026,NA,20.7,1.3,12,1.6,29.7,2.7,8.7,0.7,5.2,0.7,18,0.8,1.2,0.4,11.7,1.4,7.8,1.8,10.1,0.7,75.5,0.4,71.3,0.1,-94.92765045166016,35.08793640136719,2139,62205,oklahoma,le flore
Oklahoma,Le Flore County,40079,75.7,NA,17.5,0.1,1.7,0.2,6.4,0.1,0.7,0.1,3.19,0.06,14.6,1,1.9,0.2,7,NA,68.3,1.4,56.5,1.6,66.9,1.2,18261,244,0.8,0.2,1.8,0.3,0.3,0.2,0.4,0.2,4.4,0.6,29,1.4,15.7,0.8,71,1.4,83.5,1,54669,1802,NA,NA,39.4,0.3,40677,1372,21806,633,30437,1013,11.3,0.6,1.8,0.4,0,0.1,20902,627,2.67,0.03,50026,NA,20.7,1.3,12,1.6,29.7,2.7,8.7,0.7,5.2,0.7,18,0.8,1.2,0.4,11.7,1.4,7.8,1.8,10.1,0.7,75.5,0.4,71.3,0.1,-94.92765045166016,35.23690414428711,2139,62206,oklahoma,le flore
Oklahoma,Le Flore County,40079,75.7,NA,17.5,0.1,1.7,0.2,6.4,0.1,0.7,0.1,3.19,0.06,14.6,1,1.9,0.2,7,NA,68.3,1.4,56.5,1.6,66.9,1.2,18261,244,0.8,0.2,1.8,0.3,0.3,0.2,0.4,0.2,4.4,0.6,29,1.4,15.7,0.8,71,1.4,83.5,1,54669,1802,NA,NA,39.4,0.3,40677,1372,21806,633,30437,1013,11.3,0.6,1.8,0.4,0,0.1,20902,627,2.67,0.03,50026,NA,20.7,1.3,12,1.6,29.7,2.7,8.7,0.7,5.2,0.7,18,0.8,1.2,0.4,11.7,1.4,7.8,1.8,10.1,0.7,75.5,0.4,71.3,0.1,-94.81878662109375,35.24263381958008,2139,62207,oklahoma,le flore
Oklahoma,Le Flore County,40079,75.7,NA,17.5,0.1,1.7,0.2,6.4,0.1,0.7,0.1,3.19,0.06,14.6,1,1.9,0.2,7,NA,68.3,1.4,56.5,1.6,66.9,1.2,18261,244,0.8,0.2,1.8,0.3,0.3,0.2,0.4,0.2,4.4,0.6,29,1.4,15.7,0.8,71,1.4,83.5,1,54669,1802,NA,NA,39.4,0.3,40677,1372,21806,633,30437,1013,11.3,0.6,1.8,0.4,0,0.1,20902,627,2.67,0.03,50026,NA,20.7,1.3,12,1.6,29.7,2.7,8.7,0.7,5.2,0.7,18,0.8,1.2,0.4,11.7,1.4,7.8,1.8,10.1,0.7,75.5,0.4,71.3,0.1,-94.81878662109375,35.36295700073242,2139,62208,oklahoma,le flore
Oklahoma,Le Flore County,40079,75.7,NA,17.5,0.1,1.7,0.2,6.4,0.1,0.7,0.1,3.19,0.06,14.6,1,1.9,0.2,7,NA,68.3,1.4,56.5,1.6,66.9,1.2,18261,244,0.8,0.2,1.8,0.3,0.3,0.2,0.4,0.2,4.4,0.6,29,1.4,15.7,0.8,71,1.4,83.5,1,54669,1802,NA,NA,39.4,0.3,40677,1372,21806,633,30437,1013,11.3,0.6,1.8,0.4,0,0.1,20902,627,2.67,0.03,50026,NA,20.7,1.3,12,1.6,29.7,2.7,8.7,0.7,5.2,0.7,18,0.8,1.2,0.4,11.7,1.4,7.8,1.8,10.1,0.7,75.5,0.4,71.3,0.1,-94.795867919921875,35.368682861328125,2139,62209,oklahoma,le flore
Oklahoma,Le Flore County,40079,75.7,NA,17.5,0.1,1.7,0.2,6.4,0.1,0.7,0.1,3.19,0.06,14.6,1,1.9,0.2,7,NA,68.3,1.4,56.5,1.6,66.9,1.2,18261,244,0.8,0.2,1.8,0.3,0.3,0.2,0.4,0.2,4.4,0.6,29,1.4,15.7,0.8,71,1.4,83.5,1,54669,1802,NA,NA,39.4,0.3,40677,1372,21806,633,30437,1013,11.3,0.6,1.8,0.4,0,0.1,20902,627,2.67,0.03,50026,NA,20.7,1.3,12,1.6,29.7,2.7,8.7,0.7,5.2,0.7,18,0.8,1.2,0.4,11.7,1.4,7.8,1.8,10.1,0.7,75.5,0.4,71.3,0.1,-94.76148986816406,35.38014602661133,2139,62210,oklahoma,le flore
